URL,Keywords
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/elementary-education-bs,"elementary, education, indiana, state, program, university, students, ’, school, degree, teacher, major, preparation, overview, academic, costs, student, k-6, inspire, reading, mathematics, credit, accreditation, toggle, majors, campus, diversity, faculty, prepares, teach, primary, intermediate, grade, teachers, among, classroom, science, arts, professors, experiences, early, childhood, recognized, educator, skip, main, programs, online, calendar, admitted, administration, belonging, apply, top, passion, subject, matters, levels, contact, us"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/engineering-bse,"engineering, state, indiana, university, civil, mechanical, technology, bse, program, design, industrial, view, degree, ready, learn, college, overview, academic, students, costs, diversity, ’, management, engineers, major, coursework, credit, toggle, campus, faculty, science, principles, offers, american, analysis, skip, main, majors, programs, online, calendar, student, administration, belonging, current, apply, top, contact, us, department, information, multidisciplinary, areas, diverse, tailor, goals, solid, foundation, plus, opportunity"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/engineering-technology-management-bs,"engineering, management, technology, state, indiana, university, program, degree, ’, overview, students, costs, student, diversity, coursework, society, engineers, credit, toggle, academic, campus, graduates, managers, development, project, major, skip, main, majors, programs, online, calendar, administration, belonging, mission, vision, faculty, apply, top, prepare, positions, contact, us, department, information, builds, technical, expertise, success, accelerate, earned, associate, toward, focused, emt, resources, others, learn, 's, may"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/english-ba,"writing, english, state, indiana, creative, university, literary, degree, faculty, literature, ’, rhetoric, program, department, 's, overview, academic, costs, student, communication, major, award, view, map, credit, toggle, students, campus, diversity, workshops, skills, include, learn, excellent, american, distinguished, series, careers, arrow_forward, skip, main, majors, programs, online, calendar, administration, belonging, apply, top, library, passion, creativity, arts, contact, us, information, core, gain, meet, goals"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/english-teaching-ba,"english, state, indiana, writing, university, literature, school, program, creative, faculty, ’, major, student, department, language, overview, students, costs, arts, middle, education, award, credit, degree, toggle, academic, campus, diversity, high, demand, learn, american, distinguished, literary, series, skip, main, majors, programs, online, calendar, administration, belonging, apply, help, top, creativity, contact, us, information, close, teachers, levels, meet, experiences, training, classes, offered, excellent, british"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/environmental-geoscience-ba,"environmental, geoscience, state, indiana, university, laboratory, program, resources, learn, students, topics, ’, geology, geochemistry, overview, costs, mineral, water, earth, labs, credit, companies, degree, toggle, majors, programs, academic, campus, diversity, faculty, energy, consulting, climatology, systems, information, sciences, environment, may, south, ocean, firms, abroad, major, skip, main, online, calendar, student, administration, belonging, staff, apply, find, top, careers, policy, contact, us, department, geosciences"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/finance-bs,"financial, finance, state, business, indiana, university, management, college, planning, investment, learn, program, credit, faculty, major, information, scott, manager, overview, majors, academic, students, costs, student, insurance, ’, trading, certified, planner, toggle, programs, campus, diversity, prepare, businesses, accounting, skills, data, professionals, analysis, may, room, view, portfolio, analyst, cfp, board, degree, skip, main, online, calendar, administration, belonging, vision, apply, top, informed, decisions, within"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/fine-arts-bfa,"art, arts, fine, state, indiana, design, university, drawing, bfa, ’, program, graphic, major, studios, degree, students, faculty, ceramics, painting, photography, printmaking, media, view, overview, costs, scholarships, administration, concentrations, learn, fundamentals, three-dimensional, two-dimensional, arrow_forward, credit, toggle, majors, academic, campus, diversity, intermedia, artistic, creative, skills, sculpture, digital, galleries, create, provide, classes, education, portfolio, addition, skip, main, programs, online, calendar, student, belonging, apply"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/general-studies-babs,"general, state, indiana, program, university, degree, online, ’, college, credit, completion, overview, costs, information, minor, toggle, academic, students, campus, diversity, apply, complete, may, individualized, major, skip, main, majors, programs, calendar, student, administration, belonging, faculty, top, ba/bs, contact, us, arts, designed, earned, 75, credits, existing, create, advisor, meet, goals, possess, critical, communication, skills, valued, employers, learn, colleges, diverse, least, regionally, coursework"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/geography-and-sustainability-ba-bs,"geography, sustainability, environmental, state, indiana, university, program, students, systems, laboratory, management, firms, overview, costs, campus, climatology, earth, ’, major, labs, trips, credit, degree, toggle, programs, academic, student, administration, diversity, faculty, consulting, global, planning, protection, department, information, practices, topics, learn, class, skip, main, majors, online, calendar, belonging, staff, alumni, apply, top, land, use, careers, contact, us, graduates, pursue, issues, natural, resources"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/geology-bs,"geology, state, indiana, environmental, university, program, laboratory, learn, ’, earth, geochemistry, overview, costs, topics, systems, major, credit, degree, toggle, academic, students, campus, diversity, science, environment, resources, resource, may, professors, ocean, agencies, skip, main, majors, programs, online, calendar, student, administration, belonging, faculty, apply, top, oceans, humans, contact, us, department, information, provides, understanding, physical, management, natural, exploration, labs, internships, trips, export, production"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/graduate-programs,"ms, certificate, administration, state, 's, accelerated, indiana, university, licensure, school, education, management, post-master, programs, biology, communication, public, phd, psychology, overview, costs, degrees, development, earth, sciences, thesis, safety, technology, health, advanced, toggle, academic, students, campus, student, diversity, educational, science, quaternary, option, human, resource, mathematics, occupational, english, nursing, med, director, initial, license, transition, skip, main, online, calendar, belonging, apply, top, master, specialist"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/history-ba,"state, indiana, university, students, degree, overview, costs, diversity, program, world, skills, present, abroad, united, states, education, credit, toggle, majors, programs, academic, campus, faculty, alumni, past, learn, museums, cultural, study-abroad, variety, social, many, choose, major, skip, main, online, calendar, student, administration, belonging, apply, help, top, expand, contact, us, department, information, ’, explore, understand, analytical, toward, provides, array, hands-on, experiences, support, wide"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/human-development-and-family-science-bs,"family, indiana, state, development, human, science, families, university, ’, children, program, major, faculty, college, overview, academic, costs, social, agencies, serve, learn, credit, toggle, programs, students, campus, student, services, diversity, educational, sciences, health, challenges, public, child, degree, skip, main, majors, online, calendar, administration, belonging, apply, top, change, contact, us, department, information, healthy, build, offers, coursework, internship, skills, professionals, certified, needs, degrees"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/human-resource-development-higher-education-and-industry-bs,"development, human, resource, state, indiana, university, education, program, students, business, higher, programs, management, training, major, credit, overview, online, costs, campus, student, diversity, psychology, class, include, toggle, academic, administration, faculty, apply, ’, degree, information, hrd, areas, society, internship, learn, safety, united, graduates, skip, main, calendar, belonging, top, meet, flexible, designed, adult, learners, contact, us, systems, performance, curriculum, allow, association, shrm, classroom"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/information-technology-bs,"technology, information, state, indiana, university, ’, faculty, program, science, engineering, development, credit, overview, academic, costs, electronics, major, degree, toggle, campus, diversity, earn, management, learn, company, skip, main, majors, programs, online, calendar, students, student, services, administration, belonging, vision, apply, top, toward, network, contact, us, department, skills, professionals, automation, data, gain, internships, co-ops, offers, systems, networking, cybersecurity, processing, completion, united, states, guidelines"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/insurance-and-risk-management-bs,"insurance, risk, management, state, indiana, business, university, college, ’, program, irm, programs, scott, majors, financial, major, degree, overview, academic, students, costs, accounting, course, credit, toggle, campus, administration, diversity, faculty, top, analysis, skills, finance, one, learn, park, skip, main, online, calendar, student, belonging, give, apply, planning, contact, us, department, information, growing, demand, graduates, property, liability, internships, firms, compete, national, class, networks"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/intelligence-analysis-bs,"intelligence, analysis, state, indiana, university, learn, criminal, program, security, ’, major, operations, overview, academic, costs, faculty, information, military, criminology, hands-on, skills, data, course, topics, include, arrow_forward, view, degree, main, toggle, campus, diversity, help, thinking, analyst, government, risk, participate, realistic, assessments, lab, cyber/intel, tools, technology, classes, hours, threats, counterintelligence, know, sycamore, skip, majors, programs, online, calendar, students, student, administration, belonging, apply"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/interior-architecture-design-bfa,"design, interior, state, indiana, architecture, program, university, spaces, bfa, students, overview, costs, residential, learn, studio, indianapolis, credit, degree, toggle, academic, campus, diversity, faculty, apply, help, top, creative, commercial, us, ’, innovation, skills, hands-on, designers, complete, united, states, art, major, skip, main, majors, programs, online, calendar, student, administration, belonging, current, alumni, library, prepare, designer, institutional, product, contact, department, built, environment, information"
https://live-indiana-state-university.pantheonsite.io/academics/academic-program-finder/kinesiology-bs,"kinesiology, state, indiana, program, university, exercise, physiology, degree, students, health, ’, learn, faculty, college, overview, academic, costs, training, physical, major, biomechanics, credit, toggle, campus, recreation, diversity, allied, professions, sport, science, skip, main, majors, programs, online, calendar, student, administration, belonging, apply, help, top, prepares, careers, strength, education, within, contact, us, department, information, therapy, movement, laboratory, practical, hands-on, internship, area, focus, 's"
